wb,cement_consumption,water_consumption,dry_d1,fibra_metalica,macrofibra_pp,microfibra_pp,idade_dias,idade_horas,cement,curing,local_ensaio,estado,regiao,idade_label,epsilon_t,amostra_id,epsilon_previsto,residuo,erro_absoluto,sinal_previsto
0.5,400,200.0,0.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,-300.0,14,-170.5533333333334,-129.4466666666666,129.4466666666666,retracao
0.5,400,200.0,0.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-400.0,14,-281.9383333333333,-118.06166666666672,118.06166666666672,retracao
0.5,400,200.0,0.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-530.0,14,-377.66833333333324,-152.33166666666676,152.33166666666676,retracao
0.5,400,200.0,0.0,0.0,0.0,0.3,56.0,1344,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,56 dias,-630.0,14,-494.15833333333336,-135.84166666666664,135.84166666666664,retracao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,0.5,12,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,12 h,0.0,15,0.09,-0.09,0.09,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,1.0,24,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,1 dia,30.0,15,27.481904761904758,2.518095238095242,2.518095238095242,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,3.0,72,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,3 dias,70.0,15,59.71738095238093,10.282619047619072,10.282619047619072,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,7.0,168,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,7 dias,110.0,15,89.34142857142861,20.658571428571392,20.658571428571392,expansao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,14.0,336,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,14 dias,-20.0,15,-35.683095238095234,15.683095238095234,15.683095238095234,retracao
0.61,330,201.29999999999998,10.0,0.0,0.0,0.3,28.0,672,CP V ARI,7 dias úmida / 56 dias ar 50% umidade,Laboratório,SP,Sudeste,28 dias,-140.0,15,-152.40857142857146,12.408571428571463,12.408571428571463,retracao
